course_url,image_url,desc,duration,by,title,id
https://www.udemy.com/course/master-the-coding-interview-data-structures-algorithms/,https://img-b.udemycdn.com/course/240x135/1917546_682b_3.jpg,"Ultimate coding interview bootcamp. Get more job offers, negotiate a raise: Everything you need to get the job you want!",20 total hours,Andrei Neagoie,Master the Coding Interview: Data Structures + Algorithms,c00057
https://www.udemy.com/course/the-complete-guide-to-jira-with-real-world-examples/,https://img-b.udemycdn.com/course/240x135/1120038_2d02_6.jpg,"Learn to work on, manage & administer agile projects with this comprehensive course on JIRA Software & Confluence",11.5 total hours,Kosh Sarkar,Learn JIRA with real-world examples (+Confluence bonus),c00058
https://www.udemy.com/course/python-for-absolute-beginners-u/,https://img-b.udemycdn.com/course/240x135/836376_8b97_4.jpg,Learn Python programming from scratch with hands-on exercises in this Python course!,4.5 total hours,Green Chameleon Learning,Python for Absolute Beginners,c00059
https://www.udemy.com/course/datascience/,https://img-b.udemycdn.com/course/240x135/513244_b831_4.jpg,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",21 total hours,"Kirill Eremenko, SuperDataScience Team, Ligency Team",Data Science A-Z: Hands-On Exercises & ChatGPT Prize [2024],c00060
https://www.udemy.com/course/the-complete-aspnet-mvc-5-course/,https://img-b.udemycdn.com/course/240x135/806922_6310_3.jpg,"Learn to build fast and secure web applications with ASP.NET MVC 5 - The most popular course with 40,000+ students!",7.5 total hours,Mosh Hamedani,The Complete ASP.NET MVC 5 Course,c00061
https://www.udemy.com/course/c-programming-for-beginners-/,https://img-b.udemycdn.com/course/240x135/1467808_f8c0.jpg,C Programming will increase career options.  Become a better dev in other languages by learning C.   Pointers explained,25.5 total hours,"Tim Buchalka's Learn Programming Academy, Jason Fedin",C Programming For Beginners - Master the C Language,c00062
https://www.udemy.com/course/javascript-basics-for-beginners/,https://img-b.udemycdn.com/course/240x135/1743420_0062.jpg,JavaScript - Master the Fundamentals in 6 Hours,6.5 total hours,Mosh Hamedani,JavaScript Basics for Beginners,c00063
https://www.udemy.com/course/modern-javascript-from-the-beginning/,https://img-b.udemycdn.com/course/240x135/1463348_52a4_4.jpg,A 36-hour master course to take you from beginner to advanced JavaScript,36.5 total hours,Brad Traversy,Modern JavaScript From The Beginning 2.0 - 2023 Revamp,c00064
https://www.udemy.com/course/relational-database-design/,https://img-b.udemycdn.com/course/240x135/299398_1a2c_2.jpg,Learn how to create an effective relational database design to use in your IT career or even a personal project.,1.5 total hours,Ben Brumm,Relational Database Design,c00065
https://www.udemy.com/course/certified-tester-foundation-level-ctfl/,https://img-b.udemycdn.com/course/240x135/269394_8054_9.jpg,Be an ISTQB certified tester and Learn the basics of Software testing principles and techniques from the first trial,17.5 total hours,Maged Koshty,ISTQB Foundation Level (CTFL) V4 and V3.1 updated 2024,c00066
https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,https://img-b.udemycdn.com/course/240x135/671576_a272_4.jpg,"Complete hands-on machine learning and AI tutorial with data science, Tensorflow, GPT, OpenAI, and neural networks",18.5 total hours,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team","Machine Learning, Data Science and Generative AI with Python",c00067
https://www.udemy.com/course/git-complete/,https://img-b.udemycdn.com/course/240x135/221674_1411_4.jpg,Go from zero to hero with Git source control step-by-step with easy to understand examples. Become the next Git expert!,6.5 total hours,"Jason Taylor, John Myers","Git Complete: The definitive, step-by-step guide to Git",c00068
https://www.udemy.com/course/alteryx-bootcamp/,https://img-b.udemycdn.com/course/240x135/1248866_794c_7.jpg,Learn Alteryx in as little as 4 hours with this Bestselling Alteryx Course (+90 minutes of extra content),6.5 total hours,Hendrik Kleine,Alteryx Bootcamp,c00069
https://www.udemy.com/course/the-modern-python3-bootcamp/,https://img-b.udemycdn.com/course/240x135/1350984_2355_6.jpg,A Unique Interactive Python Experience With Nearly 200 Exercises and Quizzes,30 total hours,Colt Steele,The Modern Python 3 Bootcamp,c00070
https://www.udemy.com/course/understand-nodejs/,https://img-b.udemycdn.com/course/240x135/461160_8d87_6.jpg,"Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core Javascript concepts, and more.",13 total hours,Anthony Alicea,Learn and Understand NodeJS,c00071
https://www.udemy.com/course/certified-kubernetes-application-developer/,https://img-b.udemycdn.com/course/240x135/1988542_3bcb_12.jpg,Learn concepts and practice for the Kubernetes Certification with hands-on labs right in your browser - DevOps - CKAD,15.5 total hours,"Mumshad Mannambeth, KodeKloud Training, Vijin Palazhi",Kubernetes Certified Application Developer (CKAD) with Tests,c00072
https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/,https://img-b.udemycdn.com/course/240x135/2508942_11d3_3.jpg,Modern JavaScript from the beginning - all the way up to JS expert level! THE must-have JavaScript resource in 2024.,52.5 total hours,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",JavaScript - The Complete Guide 2024 (Beginner + Advanced),c00073
https://www.udemy.com/course/complete-csharp-masterclass/,https://img-b.udemycdn.com/course/240x135/1581488_e3e1_2.jpg,"Learn C# Programming - WPF, Databases, Linq, Collections, Game Development with Unity. Unit Testing TDD",45.5 total hours,"Denis Panjuta, Tutorials.eu by Denis Panjuta",Complete C# Masterclass,c00074
https://www.udemy.com/course/complete-android-n-developer-course/,https://img-b.udemycdn.com/course/240x135/951618_0839_2.jpg,"Learn Android App Development with Android 7 Nougat by building real apps including Uber, Whatsapp and Instagram!",32.5 total hours,"Rob Percival, Marc Stock, Codestars • over 2 million students worldwide!",The Complete Android N Developer Course,c00075
https://www.udemy.com/course/complete-react-developer-zero-to-mastery/,https://img-b.udemycdn.com/course/240x135/2365628_0b60_9.jpg,"Updated! Become a Senior React Developer. Build a massive E-commerce app with Redux, Hooks, GraphQL, Stripe, Firebase",42.5 total hours,"Andrei Neagoie, Yihua Zhang","Complete React Developer (w/ Redux, Hooks, GraphQL)",c00076
https://www.udemy.com/course/python-coding/,https://img-b.udemycdn.com/course/240x135/913448_e6e2_4.jpg,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization",11 total hours,"Kirill Eremenko, SuperDataScience Team, Ligency Team",Python A-Z™: Python For Data Science With Real Exercises!,c00077
https://www.udemy.com/course/the-complete-angular-master-class/,https://img-b.udemycdn.com/course/240x135/1247828_32bb.jpg,"The most comprehensive Angular 4 (Angular 2+) course. Build a real e-commerce app with Angular, Firebase and Bootstrap 4",29.5 total hours,Mosh Hamedani,The Complete Angular Course: Beginner to Advanced,c00078
https://www.udemy.com/course/master-practical-java-development/,https://img-b.udemycdn.com/course/240x135/827692_91ad_2.jpg,Become a confident industry ready core Java developer and get certified as a Java professional!,17.5 total hours,Job Ready Programmer,The Complete Java Certification Course,c00079
